time_iso8601,forks_cumulative
2024-06-07 00:00:00+00:00,39313
2024-06-08 00:00:00+00:00,39333
2024-06-09 00:00:00+00:00,39368
2024-06-10 00:00:00+00:00,39393
2024-06-11 00:00:00+00:00,39425
2024-06-12 00:00:00+00:00,39456
2024-06-13 00:00:00+00:00,39471
2024-06-14 00:00:00+00:00,39491
2024-06-15 00:00:00+00:00,39499
2024-06-16 00:00:00+00:00,39508
2024-06-17 00:00:00+00:00,39531
2024-06-18 00:00:00+00:00,39558
2024-06-19 00:00:00+00:00,39580
2024-06-20 00:00:00+00:00,39603
2024-06-21 00:00:00+00:00,39627
2024-06-22 00:00:00+00:00,39639
2024-06-23 00:00:00+00:00,39651
2024-06-24 00:00:00+00:00,39666
2024-06-25 00:00:00+00:00,39694
2024-06-26 00:00:00+00:00,39703
2024-06-27 00:00:00+00:00,39717
2024-06-28 00:00:00+00:00,39731
2024-06-29 00:00:00+00:00,39750
2024-06-30 00:00:00+00:00,39758
2024-07-01 00:00:00+00:00,39775
2024-07-02 00:00:00+00:00,39806
2024-07-03 00:00:00+00:00,39826
2024-07-04 00:00:00+00:00,39846
2024-07-05 00:00:00+00:00,39863
2024-07-06 00:00:00+00:00,39883
2024-07-07 00:00:00+00:00,39897
2024-07-08 00:00:00+00:00,39918
2024-07-09 00:00:00+00:00,39954
2024-07-10 00:00:00+00:00,39989
2024-07-11 00:00:00+00:00,40020
2024-07-12 00:00:00+00:00,40046
2024-07-13 00:00:00+00:00,40071
2024-07-14 00:00:00+00:00,40107
2024-07-15 00:00:00+00:00,40134
2024-07-16 00:00:00+00:00,40163
2024-07-17 00:00:00+00:00,40186
2024-07-18 00:00:00+00:00,40228
2024-07-19 00:00:00+00:00,40255
2024-07-20 00:00:00+00:00,40266
2024-07-21 00:00:00+00:00,40287
2024-07-22 00:00:00+00:00,40299
2024-07-23 00:00:00+00:00,40314
2024-07-24 00:00:00+00:00,40339
2024-07-25 00:00:00+00:00,40355
2024-07-26 00:00:00+00:00,40371
2024-07-27 00:00:00+00:00,40385
2024-07-28 00:00:00+00:00,40396
2024-07-29 00:00:00+00:00,40415
2024-07-30 00:00:00+00:00,40432
2024-07-31 00:00:00+00:00,40445
2024-08-01 00:00:00+00:00,40465
2024-08-02 00:00:00+00:00,40485
2024-08-03 00:00:00+00:00,40493
2024-08-04 00:00:00+00:00,40507
2024-08-05 00:00:00+00:00,40520
2024-08-06 00:00:00+00:00,40534
2024-08-07 00:00:00+00:00,40554
2024-08-08 00:00:00+00:00,40572
2024-08-09 00:00:00+00:00,40583
2024-08-10 00:00:00+00:00,40594
2024-08-11 00:00:00+00:00,40603
2024-08-12 00:00:00+00:00,40613
2024-08-13 00:00:00+00:00,40629
2024-08-14 00:00:00+00:00,40655
2024-08-15 00:00:00+00:00,40675
2024-08-16 00:00:00+00:00,40691
2024-08-17 00:00:00+00:00,40698
2024-08-18 00:00:00+00:00,40712
2024-08-19 00:00:00+00:00,40720
2024-08-20 00:00:00+00:00,40733
2024-08-21 00:00:00+00:00,40745
